Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,YYYY_MM
-114.383,62.45,YELLOWKNIFE-HENDERSON,2204110,NT,-12.2,0,NA,7,0,-32,0,16.6,0,NA,19,0,NA,27,5,NA,NA,NA,937,0,2017_01
-123.742,61.242,YOHIN,2204300,NT,-12.1,4,NA,8,2,-32.3,2,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,813.9,0,2017_01
-130.228,67.179,LITTLE CHICAGO,220B6Q3,NT,-20.6,1,NA,-2.9,1,-41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1156.5,0,2017_01
-110.69,62.416,LUTSELK'E CS,220L002,NT,-20,0,NA,-0.5,0,-38.5,0,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,1179.3,0,2017_01
-122.851,61.125,LINDBURG LANDING,220N003,NT,-15,1,NA,6.1,0,-34.2,1,NA,NA,NA,23.5,2,NA,33,7,NA,NA,NA,990.5,0,2017_01
-133.502,68.746,TRAIL VALLEY,220N005,NT,-18.8,2,NA,1.1,2,-35.6,0,NA,NA,NA,18.4,3,NA,NA,6,NA,NA,NA,1068.1,0,2017_01
-94.072,61.094,ARVIAT A,2300427,NU,-22.5,9,NA,-8.3,9,-39.1,9,NA,NA,NA,0,9,NA,NA,0,NA,NA,NA,891,0,2017_01
-96,64.317,BAKER LAKE CLIMATE,2300501,NU,-27.8,0,NA,-10.5,0,-41.3,0,NA,NA,NA,28.1,0,NA,12,7,NA,NA,NA,1421.1,0,2017_01
-96.078,64.299,BAKER LAKE A,2300503,NU,-27.5,0,NA,-10.2,0,-41.1,0,19.3,0,NA,19.1,0,NA,46,2,NA,NA,NA,1409.7,0,2017_01
-108.015,66.838,BATHURST INLET,2300551,NU,-23.6,1,NA,-5.6,1,-39,0,NA,NA,NA,16.1,1,NA,12,5,NA,NA,NA,1247.5,0,2017_01
-115.144,67.817,KUGLUKTUK A,2300903,NU,-22.4,0,NA,-4.2,0,-38.7,0,43.4,0,NA,15,0,NA,39,7,NA,NA,NA,1252.5,0,2017_01
-115.135,67.817,KUGLUKTUK CLIMATE,2300904,NU,-22.4,0,NA,-4,0,-38.3,0,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,1251.3,0,2017_01
-83.359,64.193,CORAL HARBOUR A,2301002,NU,-25.9,5,NA,-9.4,4,-44.2,3,11.2,2,NA,11.4,3,NA,61,2,NA,NA,NA,1141.8,0,2017_01
-83.35,64.183,CORAL HARBOUR RCS,2301010,NU,-25.6,1,NA,-9.9,1,-43.2,0,NA,NA,NA,14.1,2,NA,32,4,NA,NA,NA,1308.9,0,2017_01
-94.067,61.1,ARVIAT CLIMATE,2301153,NU,-25,0,NA,-8.4,0,-40.1,0,NA,NA,NA,9,0,NA,6,1,NA,NA,NA,1334.5,0,2017_01
-95.85,68.636,GJOA HAVEN A,2302337,NU,-33.4,14,NA,-15.8,14,-40.5,14,NA,NA,NA,0,15,NA,NA,0,NA,NA,NA,873.7,0,2017_01
-95.85,68.636,GJOA HAVEN CLIMATE,2302340,NU,-30.3,1,NA,-11.5,1,-40.8,0,NA,NA,NA,4.8,1,NA,44,1,NA,NA,NA,1447.5,0,2017_01
-100.087,68.318,HAT ISLAND,2302370,NU,-28.4,1,NA,-9.1,1,-38.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1392.6,0,2017_01
-89.726,68.437,CAM FOUR,2303093,NU,-27.9,0,NA,-14,0,-38.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1422.4,0,2017_01
-89.796,68.538,KUGAARUK CLIMATE,2303094,NU,-28.6,0,NA,-11.5,0,-44.1,0,NA,NA,NA,7.6,1,NA,0,1,NA,NA,NA,1443.3,0,2017_01
-92.115,62.811,RANKIN INLET A,2303405,NU,-27.4,0,NA,-10.4,0,-42.7,0,5.4,0,NA,4.4,0,NA,25,1,NA,NA,NA,1406,0,2017_01
-79.26,56.537,SANIKILUAQ,2303668,NU,-16.6,1,NA,-2.1,1,-28.5,0,NA,NA,NA,7.7,1,NA,10,2,NA,NA,NA,1038.9,0,2017_01
-119.219,69.276,CROKER RIVER,230J01Q,NU,-21.2,0,NA,-1.5,0,-33.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214,0,2017_01
-111.246,65.755,LUPIN CS,230N002,NU,-27.7,20,NA,-9.2,14,-39.4,18,NA,NA,NA,0.2,25,NA,70,0,NA,NA,NA,502.6,0,2017_01
-62.333,82.5,ALERT CLIMATE,2400305,NU,-29.3,2,NA,-14.7,2,-40,2,NA,NA,NA,10.5,2,NA,9,5,NA,NA,NA,1370.8,0,2017_01
-62.333,82.5,ALERT UA,2400306,NU,NA,NA,NA,NA,NA,NA,NA,12.8,1,NA,12.6,1,NA,13,4,NA,NA,NA,NA,NA,2017_01
-85.012,72.993,ARCTIC BAY CS,2400404,NU,NA,NA,NA,-20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017_01
-63.789,67.536,FOX FIVE,2400570,NU,-20.4,0,NA,-8.1,0,-27.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190,0,2017_01
-64.033,67.547,QIKIQTARJUAQ CLIMATE,2400573,NU,-21.4,0,NA,-9.7,0,-33.1,0,NA,NA,NA,12.7,0,NA,23,5,NA,NA,NA,1220.4,0,2017_01
-64.032,67.547,QIKIQTARJUAQ A,2400577,NU,-21.3,10,NA,-9.6,10,-32.7,10,NA,NA,NA,0,10,NA,NA,0,NA,NA,NA,824.4,0,2017_01
-105.137,69.108,CAMBRIDGE BAY A,2400601,NU,-29.5,0,NA,-9.1,0,-42.5,0,8.6,0,NA,8.6,0,NA,25,5,NA,NA,NA,1473.4,0,2017_01
-105.138,69.108,CAMBRIDGE BAY GSN,2400602,NU,-29.3,0,NA,-9,0,-42.4,0,NA,NA,NA,4.7,0,NA,4,1,NA,NA,NA,1467.8,0,2017_01
-76.53,64.231,KINNGAIT,2400636,NU,-19.1,0,NA,-7.7,0,-30.2,0,NA,NA,NA,9.6,0,NA,NA,2,NA,NA,NA,1149.5,0,2017_01
-76.525,64.23,CAPE DORSET A,2400637,NU,-17.3,13,NA,-9.2,13,-27.1,13,NA,NA,NA,2.4,13,NA,NA,1,NA,NA,NA,634.8,0,2017_01
-66.815,68.473,CAPE HOOPER,2400660,NU,-21.7,1,NA,-11.6,1,-28.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189.5,0,2017_01
-68.517,70.483,CLYDE RIVER CLIMATE,2400802,NU,-24.7,0,NA,-14,0,-39.7,0,NA,NA,NA,4,0,NA,53,0,NA,NA,NA,1324,0,2017_01
-68.517,70.486,CLYDE RIVER A,2400804,NU,-25.3,15,NA,-14,15,-38.5,15,NA,NA,NA,0,15,NA,NA,0,NA,NA,NA,693.5,0,2017_01
-63.578,64.958,CAPE MERCY,2400F63,NU,-19.3,0,NA,-8.3,0,-29.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1155.6,0,2017_01
-85.934,79.989,EUREKA CLIMATE,2401199,NU,-34.7,0,NA,-16.2,0,-45.6,0,NA,NA,NA,2.6,0,NA,10,0,NA,NA,NA,1633.9,0,2017_01
-85.812,79.994,EUREKA A,2401203,NU,-34.1,1,NA,-16.9,1,-45.3,1,5,1,NA,2.8,1,NA,6,1,NA,NA,NA,1563.9,0,2017_01
-94.198,72.018,FORT ROSS,2402051,NU,-26.1,2,NA,-12.8,2,-35,0,NA,NA,NA,9.4,5,NA,60,1,NA,NA,NA,1280.2,0,2017_01
-100.267,70.633,GATESHEAD ISLAND,2402332,NU,-30.3,4,NA,-10.2,2,-40.7,2,NA,NA,NA,2.1,7,NA,NA,0,NA,NA,NA,1303,0,2017_01
-82.902,76.423,GRISE FIORD CLIMATE,2402351,NU,-30.3,1,NA,-14.7,0,-39.9,1,NA,NA,NA,2.7,1,NA,14,0,NA,NA,NA,1449.8,0,2017_01
-81.244,68.776,SANIRAJAK,2402353,NU,-25.9,0,NA,-6.4,0,-42.3,0,NA,NA,NA,2.8,0,NA,15,0,NA,NA,NA,1359.4,0,2017_01
-81.243,68.776,HALL BEACH A,2402354,NU,-27.7,13,NA,-13.2,13,-41.9,13,NA,NA,NA,0,13,NA,NA,0,NA,NA,NA,822,0,2017_01
-68.544,63.747,IQALUIT CLIMATE,2402592,NU,-20.4,0,NA,-5.8,0,-36.2,0,NA,NA,NA,16.9,0,NA,32,7,NA,NA,NA,1189,0,2017_01
-103.554,78.792,ISACHSEN (AUT),2402604,NU,-30.6,23,NA,-18.1,21,-38.9,22,NA,NA,NA,0.2,25,NA,NA,0,NA,NA,NA,388.5,0,2017_01
-65.711,66.143,PANGNIRTUNG,2403049,NU,-19.1,0,NA,-5.1,0,-33.6,0,NA,NA,NA,14.3,0,NA,46,4,NA,NA,NA,1148.6,0,2017_01
-77.958,72.693,POND INLET CLIMATE,2403204,NU,-27.6,0,NA,-8.4,0,-36.9,0,NA,NA,NA,7.3,0,NA,20,1,NA,NA,NA,1414.9,0,2017_01
-77.969,72.689,POND INLET A,2403206,NU,-28,8,NA,-8.4,8,-34.9,8,NA,NA,NA,0,8,NA,NA,0,NA,NA,NA,1057.2,0,2017_01
-105.715,75.377,REA POINT,2403450,NU,-28.7,20,NA,-9.6,20,-40.1,19,NA,NA,NA,2.7,20,NA,NA,1,NA,NA,NA,514.1,0,2017_01
-94.969,74.717,RESOLUTE BAY A,2403498,NU,-28.7,0,NA,-15.5,0,-40.1,0,5.6,0,NA,5.2,0,NA,15,1,NA,NA,NA,1449,0,2017_01
-94.983,74.716,RESOLUTE CS,2403505,NU,-28.2,16,NA,-15.3,16,-39.5,3,NA,NA,NA,4.4,18,NA,2,1,NA,NA,NA,693.4,0,2017_01
-64.633,61.6,RESOLUTION ISLAND,2403602,NU,-17,1,NA,-6.4,1,-27.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048.8,0,2017_01
-105.296,73.766,STEFANSSON ISLAND,2403756,NU,-31.4,2,NA,-7.7,2,-41.7,0,NA,NA,NA,6.1,2,NA,51,1,NA,NA,NA,1431.9,0,2017_01
-91.816,81.161,SVARTEVAEG,2403833,NU,-32.1,0,NA,-19.3,0,-42.4,0,NA,NA,NA,19.5,17,NA,63,8,NA,NA,NA,1554.3,0,2017_01
-93.577,69.547,TALOYOAK A,2403855,NU,-30.6,6,NA,-12,6,-41.4,5,7.1,2,NA,12,4,NA,17,3,NA,NA,NA,1215.3,0,2017_01
-119.989,74.139,NANGMAGVIK LAKE,2500440,NT,-30.3,14,NA,-4.4,9,-42.8,9,NA,NA,NA,0.9,18,NA,19,0,NA,NA,NA,821.7,0,2017_01
-117.8,70.761,HOLMAN CS,2502505,NT,-24.9,0,NA,-7.4,0,-37.6,0,NA,NA,NA,28.6,0,NA,13,10,NA,NA,NA,1330.4,0,2017_01
-125.254,71.993,SACHS HARBOUR CLIMATE,2503648,NT,-24.4,0,NA,-5.9,0,-35.9,0,NA,NA,NA,5.3,0,NA,13,1,NA,NA,NA,1314.7,0,2017_01
-119.538,73.231,THOMSEN RIVER,2503886,NT,-23.1,23,NA,-4.7,21,-41.1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.9,0,2017_01
-119.347,76.238,MOULD BAY CS,250M001,NT,-31.8,1,NA,-6.3,1,-44.4,0,NA,NA,NA,0.3,2,NA,35,0,NA,NA,NA,1494.8,0,2017_01
-112.967,54.283,ABEE AGDM,3010010,AB,-12.3,3,NA,5.3,2,-36.7,2,NA,NA,NA,5.7,4,NA,NA,2,NA,NA,NA,847.5,0,2017_01
-111.181,53.113,ALBERT HALL AGCM,3010060,AB,-11,0,NA,7.2,0,-36,0,NA,NA,NA,9.5,0,NA,NA,3,NA,NA,NA,900.1,0,2017_01
-111.779,52.315,ALLIANCE AGCM,3010162,AB,-9.5,0,NA,10.3,0,-31.9,0,NA,NA,NA,5.4,1,NA,NA,1,NA,NA,NA,853,0,2017_01
-112.233,54.017,ANDREW,3010234,AB,-10,3,3.4,5,3,-35,3,5.6,3,NA,5.6,3,NA,NA,5,NA,NA,NA,784,0,2017_01
-112.279,53.917,ANDREW AGDM,3010237,AB,-10.5,1,NA,6.6,0,-30.1,1,NA,NA,NA,6.3,1,NA,NA,2,NA,NA,NA,853.6,0,2017_01
-111.465,52.582,BELLSHILL AGCM,3010650,AB,-9.8,3,NA,8.7,3,-30.7,0,NA,NA,NA,6.8,3,NA,NA,2,NA,NA,NA,777.8,0,2017_01
-110.101,52.124,BODO AGDM,3010730,AB,-12.9,5,NA,7.3,5,-32.5,2,NA,NA,NA,8.7,6,NA,NA,3,NA,NA,NA,804,0,2017_01
-114.441,53.089,BRETON PLOTS,3010816,AB,-7.4,0,NA,12.2,0,-26.4,0,NA,NA,NA,9.9,0,NA,NA,2,NA,NA,NA,786.2,0,2017_01
-113.922,53.931,BUSBY AGCM,3010979,AB,-10.1,0,NA,7.1,0,-31.6,0,NA,NA,NA,14.3,0,NA,NA,5,NA,NA,NA,872.3,0,2017_01
-110.51,52.334,CADOGAN AGCM,3010992,AB,-10.4,0,NA,8.5,0,-33.7,0,NA,NA,NA,7.7,0,NA,NA,3,NA,NA,NA,881,0,2017_01
-112.817,53.05,CAMROSE,3011240,AB,-10.2,0,1.4,8.9,0,-29.7,0,NA,NA,NA,10.9,0,48,28,4,NA,NA,NA,872.8,0,2017_01
-110.713,51.937,CONSORT AGDM,3011815,AB,-11.2,1,NA,7.7,1,-32.8,0,NA,NA,NA,24,3,NA,NA,10,NA,NA,NA,877,0,2017_01
-111.449,52.074,CORONATION CLIMATE,3011887,AB,-11.3,0,NA,9.1,0,-33.5,0,NA,NA,NA,4.7,0,NA,NA,3,NA,NA,NA,906.9,0,2017_01
-113.903,52.733,CRESTOMERE AGCM,3011892,AB,-11.3,7,NA,10.6,7,-31.2,4,NA,NA,NA,5.6,9,NA,NA,2,NA,NA,NA,702.4,0,2017_01
-113.176,52.183,DELBURNE AGCM,3012050,AB,-8.8,1,NA,11.1,1,-29.2,0,NA,NA,NA,3.6,2,NA,NA,1,NA,NA,NA,805.3,0,2017_01
-110.588,53.659,DEWBERRY AGCM,3012073,AB,-12.7,4,NA,8.1,4,-34.7,0,NA,NA,NA,8.4,5,NA,NA,2,NA,NA,NA,828.8,0,2017_01
-110.433,52.778,EDGERTON AGCM,3012192,AB,-11.8,4,NA,7.7,4,-35.4,0,NA,NA,NA,7.7,5,NA,NA,3,NA,NA,NA,805.3,0,2017_01
-113.606,53.307,EDMONTON INTERNATIONAL CS,3012206,AB,-10.1,0,NA,7.8,0,-32.7,0,NA,NA,NA,28.1,0,NA,8,8,NA,NA,NA,870.4,0,2017_01
-113.517,53.573,EDMONTON BLATCHFORD,3012209,AB,-8.1,0,NA,8.6,0,-25.6,0,NA,NA,NA,9.4,0,NA,21,3,NA,NA,NA,809.3,0,2017_01
-113.467,53.667,EDMONTON NAMAO AWOS A,3012212,AB,-9,0,NA,7.3,0,-30.5,0,NA,NA,NA,9,0,NA,NA,3,NA,NA,NA,837.1,0,2017_01
-113.579,53.31,EDMONTON INTL A,3012216,AB,-10.2,0,NA,6.6,0,-32.5,0,11.8,0,NA,10.8,0,NA,9,3,NA,NA,NA,873.1,0,2017_01
-113.856,53.668,EDMONTON VILLENEUVE A,3012229,AB,-7.6,4,NA,10,4,-29.7,4,NA,NA,NA,0,4,NA,NA,0,NA,NA,NA,691.3,0,2017_01
-114.108,53.548,EDMONTON STONY PLAIN,301222F,AB,-7.7,0,2.2,8.5,0,-26.7,0,10,0,42,7.6,0,35,4,3,NA,NA,NA,797.2,0,2017_01
-112.868,53.683,ELK ISLAND NAT PARK,3012275,AB,-8.8,0,3.2,14.3,0,-33.3,0,NA,NA,NA,9.6,0,53,15,3,NA,NA,NA,830.2,0,2017_01
-111,52.967,FABYAN,3012515,AB,-12.2,0,2,7,0,-36,0,9.8,0,52,9.8,0,50,0,4,NA,NA,NA,935.2,0,2017_01
-112.858,52.744,FERINTOSH AGCM,3012590,AB,-6.6,8,NA,8,8,-31.6,3,NA,NA,NA,2.5,8,NA,NA,0,NA,NA,NA,566,0,2017_01
-112.12,52.467,FORESTBURG PLANT SITE,3012652,AB,-9.5,0,0.7,7,0,-34,0,8.2,0,52,8.2,0,49,0,3,NA,NA,NA,851.7,0,2017_01
-112.123,52.548,FORESTBURG AGCM,3012653,AB,-9.6,5,NA,7.4,3,-32.6,3,NA,NA,NA,5.5,5,NA,NA,1,NA,NA,NA,718.3,0,2017_01
-113.183,53.717,FORT SASKATCHEWAN,3012710,AB,-5.9,11,6,8,11,-26,11,9.8,11,NA,9.8,11,NA,0,3,NA,NA,NA,478.5,0,2017_01
-110.621,53.071,GILT EDGE NORTH AGCM,3012790,AB,-10.1,4,NA,7.5,3,-33.2,2,NA,NA,NA,9.6,6,NA,NA,4,NA,NA,NA,759.9,0,2017_01
-114.539,53.833,GLENEVIS AGCM,3012818,AB,-6.9,4,NA,10.4,2,-25.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.5,0,2017_01
-112.164,52.116,HALKIRK AGCM,3012999,AB,-10,0,NA,9.8,0,-33.1,0,NA,NA,NA,2.8,17,NA,NA,1,NA,NA,NA,866.7,0,2017_01
-111.212,51.78,HEMARUKA AGCM,3013140,AB,-11.1,0,NA,8.6,0,-34.6,0,NA,NA,NA,1.7,25,NA,NA,0,NA,NA,NA,901.5,0,2017_01
-112.246,53.185,HOLDEN AGDM,3013340,AB,-12.2,10,NA,5.9,9,-33.6,6,NA,NA,NA,10.2,12,NA,NA,4,NA,NA,NA,633.4,0,2017_01
-110.784,52.578,HUGHENDEN AGCM,3013362,AB,-11.4,2,NA,7,1,-35.2,1,NA,NA,NA,7.8,4,NA,NA,4,NA,NA,NA,851.4,0,2017_01
-111.872,52.848,KILLAM AGDM,3013640,AB,-10,6,NA,6,4,-29.9,2,NA,NA,NA,26.5,6,NA,NA,12,NA,NA,NA,700.8,0,2017_01
-110.416,53.353,KITSCOTY AGCM,3013660,AB,-11.9,2,NA,6.8,2,-33.8,0,NA,NA,NA,7.9,2,NA,NA,2,NA,NA,NA,866.2,0,2017_01
-113.474,54.003,LEGAL AGCM,3013790,AB,-9.8,7,NA,7.7,7,-30.4,1,NA,NA,NA,7.5,8,NA,NA,3,NA,NA,NA,666.6,0,2017_01
-110.579,53.943,LINDBERGH AGDM,3013921,AB,-12.6,4,NA,5.7,3,-36.4,1,NA,NA,NA,5.8,6,NA,NA,1,NA,NA,NA,825.9,0,2017_01
-110.073,53.309,LLOYDMINSTER,3013959,AB,-12.9,10,NA,5,7,-33.5,7,NA,NA,NA,3.4,7,NA,NA,2,NA,NA,NA,648.3,0,2017_01
-110.073,53.309,LLOYDMINSTER A,3013961,AB,-10.9,0,3.3,6,0,-33,0,18.6,0,109,17.6,0,112,8,8,NA,NA,NA,896,0,2017_01
-112.267,53.083,HOLDEN SOUTH,3013C44,AB,NA,NA,NA,NA,NA,NA,NA,5.6,0,34,5.6,0,33,9,1,NA,NA,NA,NA,NA,2017_01
-111.255,53.456,MANNVILLE AGCM,3014195,AB,-10.2,5,NA,6.5,5,-33.4,4,NA,NA,NA,7.4,5,NA,NA,2,NA,NA,NA,734.3,0,2017_01
-110.55,52.017,MONITOR,3014600,AB,NA,NA,NA,NA,NA,NA,NA,9.6,0,53,9.8,0,51,0,4,NA,NA,NA,NA,NA,2017_01
-112.3,53.567,MUNDARE AGDM,3014665,AB,-9.6,4,NA,8.1,2,-31.7,3,NA,NA,NA,6.6,4,NA,0,2,NA,NA,NA,744.5,0,2017_01
-111.114,53.72,MYRNAM AGCM,3014690,AB,-12.8,2,NA,8.6,2,-38.9,0,NA,NA,NA,8.6,3,NA,NA,2,NA,NA,NA,893.6,0,2017_01
-113.165,53.262,NEW SAREPTA AGCM,3014795,AB,-11.2,6,NA,7.4,5,-29.8,4,NA,NA,NA,7,8,NA,NA,1,NA,NA,NA,729,0,2017_01
-113.35,53.65,OLIVER AGDM,3014921,AB,-8.8,2,NA,8.7,2,-33.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775.8,0,2017_01
-112.879,53.995,RADWAY AGCM,3015346,AB,-10.4,0,NA,7,0,-34.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879,0,2017_01
-111.726,53.425,RANFURLY AUTO,3015401,AB,-10.8,1,NA,6,1,-33.2,0,NA,NA,NA,5.8,2,NA,18,2,NA,NA,NA,863.5,0,2017_01
-110.343,52.587,RIBSTONE SOUTH AGCM,3015480,AB,-9.9,6,NA,6.6,3,-32.9,3,NA,NA,NA,10.1,6,NA,NA,3,NA,NA,NA,696.8,0,2017_01
-110.102,53.019,RIVERCOURSE AGCM,3015501,AB,-12.6,2,NA,5.2,1,-35,1,NA,NA,NA,9.7,3,NA,NA,3,NA,NA,NA,887.8,0,2017_01
-114.912,52.421,ROCKY MTN HOUSE (AUT),3015523,AB,-9.1,0,NA,14.5,0,-34.1,0,NA,NA,NA,9.7,0,NA,23,4,NA,NA,NA,839.8,0,2017_01
-112.428,52.78,ROSALIND AGCM,3015600,AB,-10.3,0,NA,7.5,0,-31.6,0,NA,NA,NA,8.2,2,NA,NA,1,NA,NA,NA,876.3,0,2017_01
-111.453,54.282,ST. LINA AGCM,3015673,AB,-10.7,4,NA,7,4,-31.8,1,NA,NA,NA,6.4,3,NA,NA,2,NA,NA,NA,774.8,0,2017_01
-111.272,54.011,ST. PAUL AGCM,3015676,AB,-11,3,NA,6.7,2,-35.1,2,NA,NA,NA,27.4,4,NA,NA,16,NA,NA,NA,810.7,0,2017_01
-110.755,51.59,SEDALIA AGCM,3015797,AB,-11.1,0,NA,10.8,0,-35.4,0,NA,NA,NA,6.1,1,NA,NA,2,NA,NA,NA,901.3,0,2017_01
-112.539,53.333,SHONTS AGCM,3015900,AB,-10.5,0,NA,7.9,0,-33.3,0,NA,NA,NA,8.1,0,NA,NA,3,NA,NA,NA,882.4,0,2017_01
-112.499,54.278,SMOKY LAKE AGDM,3016022,AB,-10,1,NA,6.2,1,-34,1,NA,NA,NA,5.1,7,NA,NA,2,NA,NA,NA,840.1,0,2017_01
-111.683,51.816,SPONDIN AGCM,3016070,AB,-10.9,0,NA,11.5,0,-34,0,NA,NA,NA,4.4,18,NA,NA,1,NA,NA,NA,895.1,0,2017_01
-112.596,52.347,STETTLER AGDM,3016124,AB,-8.9,2,NA,7.2,2,-28.3,1,NA,NA,NA,5.2,3,NA,NA,2,NA,NA,NA,780.3,0,2017_01
-113.895,53.217,THORSBY AGCM,3016441,AB,-8.6,5,NA,9.5,3,-30.7,2,NA,NA,NA,5.2,7,NA,NA,1,NA,NA,NA,690.9,0,2017_01
-110.081,53.664,TULLIBY LAKE AGCM,3016593,AB,-11.9,11,NA,7,10,-27.2,9,NA,NA,NA,13.2,11,NA,NA,4,NA,NA,NA,598,0,2017_01
-113.033,53.5,UNCAS,3016650,AB,NA,NA,NA,NA,NA,NA,NA,12.4,0,NA,12.8,0,NA,11,4,NA,NA,NA,NA,NA,2017_01
-111.678,53.625,TWO HILLS AGDM,3016655,AB,-10.9,6,NA,6.7,5,-32.2,3,NA,NA,NA,11.2,7,NA,NA,3,NA,NA,NA,722.8,0,2017_01
-110.882,53.344,VERMILION AGDM,3016802,AB,-10.4,3,NA,8.3,2,-34.7,1,NA,NA,NA,8.2,4,NA,NA,3,NA,NA,NA,795.4,0,2017_01
-111.732,53.182,VIKING AGCM,3016841,AB,-10.5,3,NA,5.4,2,-33,2,NA,NA,NA,8.6,4,NA,NA,2,NA,NA,NA,797.9,0,2017_01
-111.921,54.13,VILNA AGCM,3016852,AB,-11,3,NA,7,2,-35.6,1,NA,NA,NA,3.4,5,NA,NA,0,NA,NA,NA,811.1,0,2017_01
-115.126,53.144,VIOLET GROVE CS,3016860,AB,-7.8,0,NA,13.8,0,-26.5,0,NA,NA,NA,10.4,0,NA,34,3,NA,NA,NA,800.6,0,2017_01
-112.098,53.505,VEGREVILLE,3016GF0,AB,-10.7,0,2.6,6.4,0,-34.8,0,NA,NA,NA,22.7,0,150,0,8,NA,NA,NA,890.3,0,2017_01
-113.444,52.98,WETASKIWIN AGCM,3017282,AB,-9.1,4,NA,9.8,4,-31.4,0,NA,NA,NA,8.1,5,NA,NA,2,NA,NA,NA,730.4,0,2017_01
-114.108,53.547,EDMONTON STONY PLAIN CS,301A001,AB,-7.8,0,NA,9.1,0,-26,0,NA,NA,NA,8.1,0,NA,14,2,NA,NA,NA,800.8,0,2017_01
-110.206,51.67,ESTHER 1,301B460,AB,-10.5,0,NA,10.3,0,-32.5,0,NA,NA,NA,4.2,0,NA,NA,2,NA,NA,NA,882.7,0,2017_01
-113.533,53.517,UNIVERSITY OF ALBERTA METABOLIC CENTRE,301FFNJ,AB,-8.1,2,3.6,9,1,-27,1,5,1,NA,5,1,NA,0,3,NA,NA,NA,757.5,0,2017_01
-111.096,52.829,WAINWRIGHT CFB AIRFIELD 21,301S001,AB,-11,0,NA,6.9,0,-33.5,0,NA,NA,NA,7.1,0,NA,NA,2,NA,NA,NA,899.1,0,2017_01
-110.317,51.066,ACADIA VALLEY,3020035,AB,-10.1,0,NA,12.7,0,-31.8,0,NA,NA,NA,8,2,NA,NA,3,NA,NA,NA,871,0,2017_01
-111.006,50.81,ATLEE AGCM,3020405,AB,-10.2,0,NA,10.3,0,-31.2,0,NA,NA,NA,6.8,0,NA,NA,1,NA,NA,NA,874.2,0,2017_01
-113.357,51.379,BEISEKER AGCM,3020610,AB,-9.7,0,NA,11.1,0,-33.2,0,NA,NA,NA,8.9,2,NA,NA,3,NA,NA,NA,858.4,0,2017_01
-112.803,51.998,BIG VALLEY AGCM,3020679,AB,-7.7,5,NA,10.1,4,-27.7,2,NA,NA,NA,5.4,6,NA,NA,1,NA,NA,NA,668.9,0,2017_01
-112.252,51.775,CRAIGMYLE AGCM,3021912,AB,-9.9,0,NA,11.1,0,-31.7,0,NA,NA,NA,5.8,0,NA,NA,1,NA,NA,NA,863.6,0,2017_01
-112.283,51.767,CRAIGMYLE,3021940,AB,-9.8,0,1.5,10,0,-33,0,7.4,0,52,7.4,0,52,0,3,NA,NA,NA,862.6,0,2017_01
-112.677,51.445,DRUMHELLER EAST,30221LG,AB,-8.8,3,NA,12.7,2,-28.4,1,NA,NA,NA,8.6,29,NA,NA,1,NA,NA,NA,749.9,0,2017_01
-114.486,52.31,HESPERO AGCM,3023200,AB,-8.9,5,NA,11.2,5,-31.1,0,NA,NA,NA,7.1,5,NA,NA,3,NA,NA,NA,699.8,0,2017_01
-112.5,51.183,HUSSAR AGDM,3023402,AB,-8.1,6,NA,8.1,5,-28.7,4,NA,NA,NA,6.9,7,NA,NA,2,NA,NA,NA,651.8,0,2017_01
-113.756,52.449,LACOMBE CDA 2,3023722,AB,-10,0,NA,9.7,0,-32.6,0,NA,NA,NA,7.1,0,NA,2,2,NA,NA,NA,867.2,0,2017_01
-114.473,52.553,LEEDALE AGDM,3023740,AB,-11.9,5,NA,10.1,4,-36.3,2,NA,NA,NA,5.2,6,NA,0,2,NA,NA,NA,777.8,0,2017_01
-113.656,51.619,LINDEN AGCM,3023850,AB,-9.5,0,NA,14.1,0,-34.2,0,NA,NA,NA,5.9,12,NA,NA,1,NA,NA,NA,851.3,0,2017_01
